building_id,floor_area,occupants,hvac_type,outdoor_temp_c,insulation_rating,is_weekend,month,appliance_density,kwh_day
1,4542,89,gas_furnace,14.6,4,0,4,0.546,505.6
2,3045,30,heat_pump,12.0,3,0,11,0.439,384.4
3,3321,94,electric_resistance,20.0,2,1,4,0.262,264.8
4,4318,96,electric_resistance,4.0,1,0,2,0.387,694.7
5,2826,81,electric_resistance,10.5,1,0,3,0.357,376.1
6,3750,81,gas_furnace,17.6,5,0,5,0.362,388.2
7,4021,37,gas_furnace,16.3,2,1,6,0.586,364.8
8,1173,86,gas_furnace,20.6,1,0,6,0.567,193.8
9,379,17,heat_pump,14.6,1,0,2,0.346,51.0
10,1524,75,electric_resistance,8.2,1,0,2,0.287,246.6
11,1454,110,gas_furnace,14.3,2,0,3,0.501,229.4
12,4208,116,gas_furnace,2.0,4,0,4,0.432,531.4
13,4391,36,gas_furnace,-3.8,5,1,12,0.635,461.8
14,144,40,electric_resistance,16.2,5,0,4,0.928,49.6
15,2459,74,gas_furnace,10.5,5,0,5,0.602,295.9
16,3963,48,electric_resistance,13.8,4,0,9,0.444,409.4
17,735,88,geothermal,-4.3,2,0,5,0.419,138.0
18,3850,25,gas_furnace,7.7,3,0,12,0.296,444.1
19,677,21,heat_pump,5.6,4,0,6,0.287,82.3
20,2309,7,electric_resistance,3.2,1,1,5,0.269,239.8
21,3941,56,geothermal,-9.3,4,0,10,0.379,498.7
22,1538,26,heat_pump,8.0,1,0,10,0.373,161.1
23,1718,36,electric_resistance,19.1,2,0,8,0.584,209.5
24,1423,109,electric_resistance,14.4,5,0,2,0.378,217.1
25,3487,97,geothermal,5.6,2,0,4,0.414,412.1
26,1312,100,heat_pump,10.9,5,0,7,0.231,199.4
27,4755,71,heat_pump,17.8,5,1,5,0.746,402.7
28,2202,14,geothermal,-13.8,2,0,6,0.541,333.8
29,2357,89,heat_pump,9.9,5,0,4,0.772,351.5
30,2481,72,heat_pump,15.9,5,1,4,0.593,213.5
31,2846,109,gas_furnace,17.1,5,0,6,0.718,400.2
32,2710,58,gas_furnace,26.3,3,1,10,0.405,224.3
33,2504,21,electric_resistance,21.2,5,0,5,0.579,262.3
34,4778,71,heat_pump,13.8,2,1,9,0.937,458.4
35,3899,55,geothermal,13.7,2,0,12,0.23,448.1
36,3829,79,heat_pump,18.1,3,0,2,0.662,465.1
37,3397,45,electric_resistance,6.1,2,0,12,0.756,624.9
38,3031,37,heat_pump,10.6,1,0,4,0.526,338.3
39,1716,15,gas_furnace,19.2,4,0,2,0.588,190.7
40,4748,115,heat_pump,28.6,3,0,10,0.68,631.6
41,2301,90,heat_pump,9.6,5,0,1,0.329,314.1
42,1127,56,heat_pump,10.6,1,1,12,0.525,144.4
43,4075,28,electric_resistance,12.8,2,0,3,0.29,464.5
44,869,75,gas_furnace,23.1,4,0,8,0.326,134.6
45,4132,50,heat_pump,10.7,4,1,3,0.336,312.0
46,2986,76,geothermal,24.2,3,0,11,0.424,369.6
47,656,11,geothermal,2.3,4,0,9,0.477,72.6
48,325,22,geothermal,9.3,5,0,12,0.533,57.2
49,2201,88,heat_pump,9.2,5,0,10,0.189,259.1
50,286,8,gas_furnace,18.1,5,0,9,0.815,33.7
51,782,81,heat_pump,20.4,5,0,12,0.663,148.0
52,2529,49,heat_pump,-2.6,2,1,8,0.584,326.1
53,4660,1,heat_pump,2.8,4,1,3,0.384,384.6
54,2301,91,gas_furnace,14.0,2,0,3,0.434,270.2
55,3903,84,heat_pump,5.1,5,0,8,0.551,530.2
56,4412,98,heat_pump,-2.7,5,1,5,0.526,395.0
57,3973,107,geothermal,20.3,3,0,10,0.14,361.0
58,3064,87,gas_furnace,15.4,3,0,8,0.587,389.9
59,2185,101,heat_pump,15.4,1,0,1,0.988,372.8
60,2526,14,electric_resistance,6.7,1,0,12,0.109,343.4
61,1366,110,heat_pump,20.3,1,0,12,0.634,223.4
62,2445,109,gas_furnace,8.8,1,1,4,0.518,291.8
63,1895,83,heat_pump,20.9,2,0,4,0.429,217.7
64,1278,96,gas_furnace,2.8,5,0,5,0.703,215.3
65,4768,89,gas_furnace,3.3,4,0,10,0.232,512.3
66,175,105,gas_furnace,12.8,3,0,1,0.48,95.9
67,574,106,gas_furnace,4.7,4,1,3,0.72,118.2
68,1020,63,electric_resistance,17.1,1,0,9,0.414,126.7
69,4655,98,geothermal,13.3,4,0,6,0.373,532.6
70,3358,109,heat_pump,2.7,3,0,6,0.471,529.5
71,4247,36,heat_pump,11.7,1,0,12,0.368,536.4
72,1058,6,heat_pump,7.8,3,0,10,0.736,137.4
73,3494,21,geothermal,19.2,4,1,2,0.282,264.3
74,1849,4,geothermal,5.3,3,0,3,0.611,198.0
75,2408,52,heat_pump,7.0,5,1,4,0.218,203.9
76,137,3,geothermal,21.9,5,1,8,0.574,12.8
77,3010,31,heat_pump,31.1,2,0,6,0.431,377.3
78,4004,31,gas_furnace,29.0,5,0,9,0.05,336.8
79,3226,85,gas_furnace,11.6,2,0,3,0.449,416.2
80,842,30,geothermal,13.0,1,0,6,0.253,107.8
81,2618,114,heat_pump,24.8,4,1,5,0.368,241.2
82,1372,23,heat_pump,9.9,1,1,3,0.735,143.2
83,4635,116,gas_furnace,2.2,2,0,3,0.243,630.8
84,4239,68,heat_pump,12.1,3,0,5,0.254,429.0
85,991,30,heat_pump,15.1,4,0,9,0.717,123.7
86,2505,5,gas_furnace,3.5,5,0,9,0.471,287.8
87,4518,37,geothermal,-3.8,5,0,10,0.735,547.2
88,4084,71,electric_resistance,-1.9,4,0,3,0.51,654.1
89,3433,13,electric_resistance,17.0,5,0,7,0.287,323.1
90,3113,20,electric_resistance,4.2,4,1,2,0.438,358.5
91,317,14,electric_resistance,9.7,5,0,2,0.678,51.9
92,3591,81,electric_resistance,12.9,3,0,6,0.624,486.2
93,2336,11,electric_resistance,16.6,1,0,9,0.45,247.4
94,548,3,electric_resistance,8.0,2,1,3,0.459,52.4
95,1264,55,heat_pump,15.5,3,0,3,0.429,141.9
96,2652,37,heat_pump,3.0,5,0,10,0.343,276.1
97,3521,68,electric_resistance,7.7,3,0,8,0.807,559.4
98,2496,112,heat_pump,1.8,1,0,10,0.451,429.0
99,2988,103,geothermal,21.2,3,0,2,0.241,352.8
100,4197,65,gas_furnace,10.8,4,0,12,0.362,540.2
101,3330,77,heat_pump,4.3,5,0,10,0.584,390.7
102,1810,97,geothermal,7.8,1,0,11,0.569,316.4
103,3130,53,heat_pump,9.0,2,0,2,0.425,430.4
104,2919,79,gas_furnace,17.3,3,0,8,0.326,357.1
105,626,26,heat_pump,-3.4,3,0,7,0.454,100.7
106,397,73,geothermal,1.7,5,0,3,0.14,80.9
107,3209,29,gas_furnace,7.6,2,0,11,0.209,409.1
108,1934,23,electric_resistance,33.8,3,0,10,0.598,238.0
109,2920,91,heat_pump,19.6,2,1,10,0.361,238.2
110,1631,69,electric_resistance,10.0,1,1,9,0.519,188.7
111,1176,45,electric_resistance,17.4,2,0,3,0.675,130.1
112,822,5,gas_furnace,29.5,3,0,9,0.57,91.8
113,1905,29,geothermal,8.9,1,0,6,0.454,248.0
114,3940,96,gas_furnace,7.7,4,0,9,0.844,542.3
115,1996,56,gas_furnace,21.9,2,0,8,0.574,228.3
116,1895,115,electric_resistance,15.4,1,1,10,0.384,213.3
117,2812,108,electric_resistance,17.0,3,0,7,0.585,382.4
118,4700,102,heat_pump,6.4,2,1,4,0.525,496.4
119,1955,2,electric_resistance,28.3,4,0,8,0.292,211.6
120,2881,7,heat_pump,26.4,1,0,9,0.464,267.1
121,2176,69,gas_furnace,16.1,4,0,4,0.419,250.9
122,2951,41,electric_resistance,17.2,3,1,7,0.086,213.0
123,2205,101,heat_pump,-7.2,4,0,8,0.418,364.6
124,3105,38,electric_resistance,16.7,2,0,5,0.398,302.5
125,2680,19,heat_pump,9.3,5,1,3,0.369,205.5
126,3285,14,geothermal,14.9,3,0,4,0.146,289.6
127,4597,36,gas_furnace,17.1,5,1,11,0.384,379.9
128,825,75,gas_furnace,7.9,2,0,2,0.443,163.8
129,2748,16,electric_resistance,-4.2,5,0,5,0.469,354.6
130,2180,95,gas_furnace,14.3,4,0,6,0.24,276.1
131,1795,37,electric_resistance,4.3,5,0,10,0.567,224.1
132,1241,38,heat_pump,8.0,1,1,5,0.225,112.9
133,364,79,gas_furnace,5.6,3,0,12,0.409,106.8
134,2003,103,gas_furnace,7.9,5,0,6,0.691,317.7
135,3986,52,geothermal,-9.8,2,0,6,0.322,588.0
136,572,95,heat_pump,22.0,5,1,11,0.355,95.2
137,2020,37,gas_furnace,13.3,5,0,6,0.649,279.7
138,4649,16,gas_furnace,21.0,3,0,9,0.379,433.2
139,4572,99,gas_furnace,28.8,4,0,5,0.395,505.8
140,1126,92,heat_pump,11.2,3,1,9,0.491,136.7
141,155,90,gas_furnace,-5.2,4,0,8,0.644,105.2
142,3263,106,heat_pump,3.0,5,0,12,0.05,402.9
143,186,60,heat_pump,0.1,4,0,5,0.297,57.1
144,1525,24,geothermal,6.5,2,1,3,0.264,131.1
145,2446,70,heat_pump,11.7,3,1,2,0.249,240.9
146,4210,69,gas_furnace,-7.0,5,1,7,0.292,481.1
